                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0425,                 2.1513,                 0.8817,                 1.3287,                0.89811,                0.82543,                0.85037,                0.73346,                0.89796,                0.81755,                 0.8411,                0.69622,                 0.4807,                0.86258,                0.46063,                0.99783,               0.008053,               0.008053,               0.008053
                     62,                 1.0522,                 2.1869,                0.89609,                 1.3364,                0.90853,                0.82472,                0.85197,                0.73306,                0.90823,                0.82319,                0.84702,                0.69963,                0.48339,                 0.8545,                0.47146,                0.99316,                0.00802,                0.00802,                0.00802
                     63,                 1.0501,                 2.1772,                0.88134,                 1.3329,                0.90858,                0.82515,                0.85084,                0.73634,                0.90687,                0.82277,                0.84048,                0.69858,                0.47087,                0.85831,                 0.4477,                0.98797,               0.007987,               0.007987,               0.007987
                     64,                 1.0447,                 2.1553,                0.87959,                 1.3264,                0.90783,                0.81761,                0.85055,                0.73492,                0.90981,                0.81845,                0.84459,                0.69627,                0.47539,                0.85144,                0.44569,                0.98957,               0.007954,               0.007954,               0.007954
                     65,                 1.0392,                 2.1604,                0.87158,                 1.3176,                0.91595,                0.80905,                0.84952,                0.73572,                 0.9153,                0.80732,                0.84147,                0.70265,                0.47816,                0.84753,                0.44396,                0.98637,               0.007921,               0.007921,               0.007921
                     66,                 1.0445,                 2.1684,                0.87399,                 1.3201,                0.89244,                0.81716,                0.84967,                0.73706,                0.89045,                0.81149,                0.83968,                 0.6996,                0.48067,                0.85432,                0.44791,                0.98785,               0.007888,               0.007888,               0.007888
                     67,                 1.0246,                 2.1397,                0.86138,                 1.3136,                0.90726,                0.82114,                 0.8519,                0.74511,                0.91272,                0.80479,                0.84107,                0.70483,                0.46072,                0.84077,                0.44034,                0.98436,               0.007855,               0.007855,               0.007855
                     68,                 1.0457,                 2.1673,                0.87874,                 1.3216,                 0.8961,                 0.8178,                0.85106,                0.73771,                0.89264,                0.80925,                0.84143,                0.69535,                0.46663,                0.84801,                0.43895,                0.98503,               0.007822,               0.007822,               0.007822
                     69,                 1.0467,                 2.1639,                0.87448,                 1.3253,                 0.8979,                0.82645,                0.85321,                0.74173,                0.89637,                0.82177,                0.84378,                0.70588,                0.46796,                0.84501,                0.43172,                0.98414,               0.007789,               0.007789,               0.007789
                     70,                   1.02,                 2.1293,                0.85603,                 1.3057,                0.91651,                 0.8273,                0.85588,                0.74655,                0.91416,                0.82195,                0.85043,                0.71486,                0.46026,                0.83253,                0.43553,                0.97902,               0.007756,               0.007756,               0.007756
